File,label,time,f0 
abby-walk-a-A,a1,0.1584510245767498,158.54430903903557 
abby-walk-a-A,a2,0.49004586079171764,248.66855355695822 
abby-walk-a-A,1,1.492541877255574,253.0801507007261 
abby-walk-a-A,2,1.8701107266488735,251.21230474264013 
abby-walk-a-A,3,1.9860783776685496,280.4359530728734 
abby-walk-m-A,a1,0.1019599127006053,147.24914073937234 
abby-walk-m-A,a2,0.44325249374196884,254.16198836026925 
abby-walk-m-A,1,1.6756979252802262,244.3545254241295 
abby-walk-m-A,2,2.0484887168163572,245.26172272360668 
abby-walk-m-A,3,2.1646232297989587,279.2525395218492 
abby-walk-s-A,a1,0.12553051798940565,151.70487318127172 
abby-walk-s-A,a2,0.4517346145211891,260.3080210216931 
abby-walk-s-A,1,1.5087370358412318,251.77124767652958 
abby-walk-s-A,2,1.8828899502065717,248.84442789660923 
abby-walk-s-A,3,2.0028601835874182,280.1229217828958 
addy-cry-a-A,a1,0.1340052181430833,151.53593783864437 
addy-cry-a-A,a2,0.5024716363746737,250.34146614928432 
addy-cry-a-A,1,1.5802359097020757,249.34129312541805 
addy-cry-a-A,2,2.0322815055171617,237.68137384947963 
addy-cry-a-A,3,2.1576603821955374,277.47853494954563 
addy-cry-m-A,a1,0.19175650452714305,156.0373696051893 
addy-cry-m-A,a2,0.5607661478836973,244.0006330378352 
addy-cry-m-A,1,1.8743050618501473,244.41741122737432 
addy-cry-m-A,2,2.2907104392158004,238.6912981929584 
addy-cry-m-A,3,2.4458158787485282,284.26113800365613 
addy-cry-s-A,a1,0.14761689775904924,149.838562009164 
addy-cry-s-A,a2,0.4967748544480417,243.29547854958355 
addy-cry-s-A,1,1.650369411208024,251.4529091670587 
addy-cry-s-A,2,2.096547477056792,247.4429734847937 
addy-cry-s-A,3,2.2369308234512637,285.8008993958298 
alfie-text-a-A,a1,0.17045090337602142,159.32154766208228 
alfie-text-a-A,a2,0.5704423912174591,256.83707575878327 
alfie-text-a-A,1,1.5282451376132826,221.2319308951975 
alfie-text-a-A,2,1.8275584958619775,227.35171778050415 
alfie-text-a-A,3,1.9744941444567914,267.61250713511055 
alfie-text-m-A,a1,0.21705041893501964,137.20500514936063 
alfie-text-m-A,a2,0.5987865165008661,236.26983807345005 
alfie-text-m-A,1,1.7803506280142007,220.8227045416536 
alfie-text-m-A,2,2.0924047395164402,221.36080584434262 
alfie-text-m-A,3,2.2196501053717226,260.44649139309024 
alfie-text-s-A,a1,0.21180969217762363,149.30837144488422 
alfie-text-s-A,a2,0.5655534154037671,238.5924805139834 
alfie-text-s-A,1,1.5576940141395919,223.24389968211472 
alfie-text-s-A,2,1.8451107892608334,228.87331551876701 
alfie-text-s-A,3,1.963946571282116,261.26731764016847 
annie-clean-a-A,a1,0.12113287024775193,148.5365059406752 
annie-clean-a-A,a2,0.5058154022693911,230.01998062219593 
annie-clean-a-A,1,1.3150560946319858,262.4530042951619 
annie-clean-a-A,2,1.5660379905241528,255.1801641398171 
annie-clean-a-A,3,1.7302317541919259,285.73953587260513 
annie-clean-m-A,a1,0.13072578800153997,147.14371637982617 
annie-clean-m-A,a2,0.5260478065547614,252.06921757800512 
annie-clean-m-A,1,1.7354403522027648,256.57337158802926 
annie-clean-m-A,2,2.0019166758201217,253.87338618588117 
annie-clean-m-A,3,2.1524350636909264,304.5238591745505 
annie-clean-s-A,a1,0.13298551840177344,146.9574076630298 
annie-clean-s-A,a2,0.44607797329188204,256.0939517282307 
annie-clean-s-A,1,1.354285094347159,258.8529284202631 
annie-clean-s-A,2,1.6076270807467887,251.74215954622832 
annie-clean-s-A,3,1.722347980248508,277.2079863555941 
bella-bark-a-A,a1,0.3533480530798959,148.82197660770012 
bella-bark-a-A,a2,0.727389186488454,238.61747805293243 
bella-bark-a-A,1,1.5626539731226026,245.18053329776407 
bella-bark-a-A,2,1.992941893509891,253.5149631185364 
bella-bark-a-A,3,2.0857490920247965,280.1220919991846 
bella-bark-m-A,a1,0.19354563755572046,142.4628661956813 
bella-bark-m-A,a2,0.5169483130010393,227.3706806956177 
bella-bark-m-A,1,1.7854403603787947,252.25232810404898 
bella-bark-m-A,2,2.2093176534381933,255.85858345373617 
bella-bark-m-A,3,2.2878134484491928,283.9125172052182 
bella-bark-s-A,a1,0.2130172542894306,141.1826675888391 
bella-bark-s-A,a2,0.5811640223747956,242.97535917200577 
bella-bark-s-A,1,1.5286425262844172,251.62820304427038 
bella-bark-s-A,2,1.9766971200007142,255.98642835851936 
bella-bark-s-A,3,2.0508972438008652,283.49722568450886 
benny-clean-a-A,a1,0.12410870879802637,159.63048795338113 
benny-clean-a-A,a2,0.443391901643654,242.68757346213786 
benny-clean-a-A,1,1.2230907131579767,250.77770750394367 
benny-clean-a-A,2,1.590960478827939,249.72179230912474 
benny-clean-a-A,3,1.6765653928517668,277.56998125333354 
benny-clean-m-A,a1,0.1807748364543049,148.75498737734026 
benny-clean-m-A,a2,0.5585605459321437,245.26883867370424 
benny-clean-m-A,1,1.7373655792652496,243.24595971131785 
benny-clean-m-A,2,2.095267830349518,248.519994873519 
benny-clean-m-A,3,2.1691206758113513,283.23210748199193 
benny-clean-s-A,a1,0.1513227782900014,169.55465087063743 
benny-clean-s-A,a2,0.5170974014410628,248.76770973815286 
benny-clean-s-A,1,1.4622197498515235,249.86707059443188 
benny-clean-s-A,2,1.827994373002585,251.7782117716557 
benny-clean-s-A,3,1.8942756805534484,275.03454598438077 
betty-shout-a-A,a1,0.09822318980715611,165.14263208751373 
betty-shout-a-A,a2,0.43899028097224113,241.85775845169726 
betty-shout-a-A,1,1.3622032513627553,230.41259349746292 
betty-shout-a-A,2,1.751306100139909,240.47471866677597 
betty-shout-a-A,3,1.9325651911851671,268.96400193810916 
betty-shout-m-A,a1,0.18596359905985432,139.28939597031712 
betty-shout-m-A,a2,0.5258250840889491,233.45760610746197 
betty-shout-m-A,1,1.7730231942874621,242.13540690541754 
betty-shout-m-A,2,2.2064245375814457,244.26761970657276 
betty-shout-m-A,3,2.4153302210396963,277.6333432799274 
betty-shout-s-A,a1,0.18452531936841002,152.81265024100688 
betty-shout-s-A,a2,0.52992845996247,244.21573603956418 
betty-shout-s-A,1,1.56613788174465,239.62329696933895 
betty-shout-s-A,2,1.9914690218150215,239.35677782853753 
betty-shout-s-A,3,2.1684524492268538,272.49505904199395 
buddy-bark-a-A,a1,0.09787404751892757,146.33110086303114 
buddy-bark-a-A,a2,0.482692697574226,239.0260207356023 
buddy-bark-a-A,1,1.3615352902680833,246.78769499677932 
buddy-bark-a-A,2,1.8763602410177393,251.31079283673233 
buddy-bark-a-A,3,2.004212355974905,307.779856550932 
buddy-bark-m-A,a1,0.12554389763314633,141.07263451572518 
buddy-bark-m-A,a2,0.43762214570039354,236.66855008101265 
buddy-bark-m-A,1,1.6800468691379251,253.549101675101 
buddy-bark-m-A,2,2.1893821230589983,256.7495149403118 
buddy-bark-m-A,3,2.2883219298372452,290.59649945165353 
buddy-bark-s-A,a1,0.13584786928432768,150.5391868986648 
buddy-bark-s-A,a2,0.44701923649458536,244.72516802724192 
buddy-bark-s-A,1,1.4315010620649697,258.93096186790854 
buddy-bark-s-A,2,1.968003419324035,257.1318877680848 
buddy-bark-s-A,3,2.078951483975462,285.71289878537675 
charley-clean-a-A,a1,0.11946116449173703,146.10875626073178 
charley-clean-a-A,a2,0.5285579290081791,245.7583653575371 
charley-clean-a-A,1,1.2986224269214819,246.25091399891053 
charley-clean-a-A,2,1.7264277110776898,245.76832981236828 
charley-clean-a-A,3,1.847044138484383,274.46646614962106 
charley-clean-m-A,a1,0.14687092615108593,153.70238972373105 
